,scores
0,-500.0
1,-500.0
2,-500.0
3,-500.0
4,-500.0
5,-500.0
6,-500.0
7,-500.0
8,-500.0
9,-500.0
10,-500.0
11,-500.0
12,-500.0
13,-500.0
14,-500.0
15,-500.0
16,-500.0
17,-500.0
18,-500.0
19,-500.0
20,-500.0
21,-500.0
22,-500.0
23,-500.0
24,-500.0
25,-500.0
26,-500.0
27,-500.0
28,-500.0
29,-500.0
30,-500.0
31,-500.0
32,-500.0
33,-500.0
34,-500.0
35,-500.0
36,-500.0
37,-500.0
38,-500.0
39,-500.0
40,-500.0
41,-500.0
42,-500.0
43,-500.0
44,-500.0
45,-500.0
46,-500.0
47,-500.0
48,-394.0
49,-500.0
50,-500.0
51,-500.0
52,-500.0
53,-500.0
54,-500.0
55,-369.0
56,-401.0
57,-500.0
58,-289.0
59,-500.0
60,-500.0
61,-500.0
62,-500.0
63,-402.0
64,-500.0
65,-500.0
66,-500.0
67,-500.0
68,-500.0
69,-500.0
70,-374.0
71,-258.0
72,-500.0
73,-311.0
74,-279.0
75,-422.0
76,-386.0
77,-225.0
78,-243.0
79,-235.0
80,-245.0
81,-346.0
82,-156.0
83,-244.0
84,-237.0
85,-154.0
86,-163.0
87,-191.0
88,-157.0
89,-131.0
90,-251.0
91,-197.0
92,-116.0
93,-206.0
94,-125.0
95,-151.0
96,-166.0
97,-187.0
98,-187.0
99,-200.0
100,-175.0
101,-143.0
102,-131.0
103,-205.0
104,-197.0
105,-127.0
106,-178.0
107,-174.0
108,-159.0
109,-192.0
110,-192.0
111,-164.0
112,-129.0
113,-162.0
114,-104.0
115,-158.0
116,-94.0
117,-138.0
118,-103.0
119,-175.0
120,-202.0
121,-147.0
122,-176.0
123,-113.0
124,-227.0
125,-156.0
126,-125.0
127,-125.0
128,-117.0
129,-103.0
130,-217.0
131,-112.0
132,-96.0
133,-109.0
134,-136.0
135,-260.0
136,-140.0
137,-151.0
138,-105.0
139,-137.0
140,-183.0
141,-252.0
142,-117.0
143,-102.0
144,-142.0
145,-105.0
146,-145.0
147,-117.0
148,-167.0
149,-85.0
150,-110.0
151,-111.0
152,-112.0
153,-193.0
154,-123.0
155,-175.0
156,-146.0
157,-124.0
158,-93.0
