,scores
0,999612.0
1,999755.0
2,999790.0
3,999737.0
4,998753.0
5,998614.0
6,998817.0
7,999466.0
8,998446.0
9,997867.0
10,998311.0
11,999515.0
12,998309.0
13,999439.0
14,999769.0
15,998922.0
16,999762.0
17,998873.0
18,999790.0
19,-2608.0
20,998315.0
21,998910.0
22,998425.0
23,999790.0
24,998065.0
25,998350.0
26,999326.0
27,999235.0
28,999755.0
29,999776.0
30,999440.0
31,998703.0
32,999754.0
33,999242.0
34,999769.0
35,998557.0
36,999737.0
37,-1505.0
38,-2818.0
39,999583.0
40,999783.0
41,999283.0
42,998929.0
43,999790.0
44,998278.0
45,998972.0
46,998334.0
47,999182.0
48,998642.0
49,998999.0
50,999422.0
51,-2614.0
52,998040.0
53,999534.0
54,998831.0
55,-563.0
56,999734.0
57,999163.0
58,998923.0
59,998509.0
60,998839.0
61,998467.0
62,999720.0
63,999312.0
64,999674.0
65,999549.0
66,999769.0
67,999385.0
68,998397.0
69,999738.0
70,998845.0
71,998236.0
72,999757.0
73,998538.0
74,998978.0
75,998958.0
76,998563.0
77,999742.0
78,998390.0
79,999775.0
80,999270.0
81,998599.0
82,999345.0
83,998488.0
84,-2686.0
85,998941.0
86,998854.0
87,998080.0
88,999783.0
89,998845.0
90,998071.0
91,998236.0
92,998500.0
93,998565.0
94,998593.0
95,999474.0
96,998379.0
97,-972.0
98,998379.0
99,999776.0
100,999273.0
101,999580.0
102,999783.0
103,-874.0
104,999644.0
105,998620.0
106,999788.0
107,998803.0
108,999776.0
109,999462.0
110,998723.0
111,999755.0
112,998727.0
113,999522.0
114,999367.0
115,997878.0
116,999297.0
117,998663.0
118,999093.0
119,998221.0
120,999783.0
121,998579.0
122,999381.0
123,-706.0
124,998999.0
125,999590.0
126,999083.0
127,999453.0
128,998530.0
129,998656.0
130,997750.0
131,998273.0
132,999769.0
133,999692.0
134,999191.0
135,997928.0
136,998735.0
137,998434.0
138,999068.0
139,999529.0
140,999069.0
141,-2374.0
142,998608.0
143,999755.0
144,999332.0
145,998826.0
146,998411.0
147,998990.0
148,998677.0
149,998978.0
150,998600.0
151,-2800.0
152,999762.0
153,999746.0
154,998469.0
155,998726.0
156,-2800.0
157,999776.0
158,999416.0
159,998759.0
160,998574.0
161,998624.0
162,998802.0
163,998894.0
164,998972.0
165,998495.0
166,998719.0
167,999783.0
168,998691.0
169,998915.0
170,998761.0
171,999424.0
172,998658.0
173,999777.0
174,998663.0
175,999097.0
176,999277.0
177,998425.0
178,999360.0
179,999720.0
180,998138.0
181,-2784.0
182,999471.0
183,998750.0
184,998908.0
185,998306.0
186,999556.0
187,999104.0
188,999375.0
189,998446.0
190,999716.0
191,999768.0
192,998250.0
193,999746.0
194,998894.0
195,999429.0
196,998943.0
197,999720.0
198,999384.0
199,999755.0
200,998495.0
201,999250.0
202,998124.0
203,998906.0
204,998932.0
205,998084.0
206,998932.0
207,998594.0
208,998369.0
209,999221.0
210,998306.0
211,998948.0
212,998852.0
213,-2786.0
214,999301.0
215,999457.0
216,999710.0
217,998824.0
218,997880.0
219,998591.0
220,998544.0
221,999769.0
222,999285.0
223,999783.0
224,998093.0
225,999781.0
226,998624.0
227,999511.0
228,997876.0
229,998945.0
230,998803.0
231,999762.0
232,999650.0
233,999755.0
234,999353.0
235,999475.0
236,999755.0
237,999468.0
238,999733.0
239,999740.0
